,coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
185,Kyber Network Crystal,KNC,3.06,0.025,0.008,0.002,40287449.0,313785580.0,2022-03-16
187,HUSD,HUSD,0.999103,0.0,0.001,0.0,43235094.0,310668205.0,2022-03-16
188,Ultra,UOS,1.15,0.01,0.024,-0.037,8976424.0,308351253.0,2022-03-16
191,DeFi Kingdoms,JEWEL,4.16,0.04,0.016,-0.074,11440253.0,302825745.0,2022-03-16
192,Telcoin,TEL,0.004899527146,0.008,0.027,-0.011,2843059.0,301743735.0,2022-03-16
193,Tomb,TOMB,1.18,0.031,0.01,-0.054,14140774.0,300452818.0,2022-03-16
194,Stargaze,STARS,0.401895,0.0139999999999999,-0.005,-0.125,1726553.0,300351592.0,2022-03-16
195,DigiByte,DGB,0.019668130187,0.03,0.018,0.059,15693285.0,297257419.0,2022-03-16
197,Syscoin,SYS,0.468329,0.023,-0.031,-0.074,12673226.0,296323527.0,2022-03-16
198,Lisk,LSK,2.03,0.015,0.006,0.019,7600165.0,293297599.0,2022-03-16
199,Tokemak,TOKE,25.32,0.03,0.076,-0.004,6123881.0,292863833.0,2022-03-16
202,PlayDapp,PLA,0.797778,0.021,0.04,-0.013,17641285.0,288940736.0,2022-03-16
203,SafeMoon [OLD],SAFEMOON,5.06313e-07,0.02,0.025,0.003,3503.42,277800683.0,2022-03-16
204,Ronin,RON,1.86,0.023,0.0289999999999999,-0.004,2243276.0,276423433.0,2022-03-16
205,Persistence,XPRT,3.3,0.012,0.045,0.038,2580206.0,273550379.0,2022-03-16
206,Radio Caca,RACA,0.001341144021,0.0279999999999999,0.0409999999999999,0.099,15540182.0,273386276.0,2022-03-16
208,MAI,MIMATIC,0.99909,0.002,0.006,0.002,11703582.0,269555684.0,2022-03-16
209,Casper Network,CSPR,0.063408018304,0.023,0.1009999999999999,0.019,11186869.0,262580070.0,2022-03-16
210,Everscale,EVER,0.191627,-0.011,-0.009,0.001,6416.99,261949792.0,2022-03-16
211,SXP,SXP,1.34,0.022,0.059,0.038,71885529.0,258788391.0,2022-03-16
212,Floki Inu,FLOKI,2.8340322e-05,0.04,0.042,-0.037,6481180.0,257703958.0,2022-03-16
213,Zenon,ZNN,5.35,0.011,0.025,-0.019,42667.91,257245207.0,2022-03-16
214,Injective,INJ,5.33,0.027,0.024,0.021,16026155.0,256116913.0,2022-03-16
215,MXC,MXC,0.104299,-0.0,0.031,0.175,21346445.0,255853059.0,2022-03-16
217,WazirX,WRX,0.558123,0.012,-0.002,-0.073,7071983.0,254216018.0,2022-03-16
218,Perpetual Protocol,PERP,3.85,0.019,0.012,-0.009,8343005.0,251018197.0,2022-03-16
219,Mobox,MBOX,2.04,0.026,-0.024,0.06,38070293.0,250469440.0,2022-03-16
221,Trust Wallet Token,TWT,0.721272,0.026,-0.084,0.065,45061838.0,248213542.0,2022-03-16
222,Serum,SRM,1.87,0.02,0.026,0.034,40405418.0,247791442.0,2022-03-16
223,Coin98,C98,1.34,0.024,0.035,0.066,52212880.0,247303702.0,2022-03-16
225,Zipmex Token,ZMT,2.79,-0.002,0.004,-0.005,14206660.0,246790193.0,2022-03-16
226,Tribe,TRIBE,0.543192,0.011,0.01,0.0289999999999999,8017450.0,246535822.0,2022-03-16
227,VVS Finance,VVS,2.2321211e-05,0.018,0.022,-0.087,3849460.0,235411080.0,2022-03-16
228,Metahero,HERO,0.045156504195,0.023,0.034,-0.106,8366250.0,233755062.0,2022-03-16
229,Creditcoin,CTC,1.14,0.015,0.015,0.023,3179625.0,233390471.0,2022-03-16
230,Lido Staked SOL,STSOL,87.91,0.024,0.013,0.04,4624558.0,233265607.0,2022-03-16
231,API3,API3,4.7,0.0279999999999999,-0.008,-0.1009999999999999,29731985.0,230984150.0,2022-03-16
232,Escoin Token,ELG,3.37,0.024,0.021,0.051,685965.0,228752259.0,2022-03-16
233,Function X,FX,0.488809,0.019,0.005,-0.005,2065790.0,228173732.0,2022-03-16
234,Raydium,RAY,2.51,0.013,0.0559999999999999,0.035,33025947.0,227133027.0,2022-03-16
235,CoinEx Token,CET,0.061152343679,0.005,0.035,0.072,862651.0,226665111.0,2022-03-16
236,Euro Tether,EURT,1.1,0.004,0.008,0.012,25282592.0,226370344.0,2022-03-16
237,Fetch.ai,FET,0.327851,0.022,0.0069999999999999,0.024,21546674.0,224454559.0,2022-03-16
238,Dent,DENT,0.002351313514,0.023,0.017,0.008,18982568.0,223840664.0,2022-03-16
239,Chia,XCH,65.15,0.012,-0.021,-0.084,10252044.0,221396095.0,2022-03-16
240,Status,SNT,0.056745127667,0.012,0.0069999999999999,-0.034,7688360.0,219753630.0,2022-03-16
241,Power Ledger,POWR,0.503878,0.01,0.005,-0.023,32211271.0,216689443.0,2022-03-16
242,Medibloc,MED,0.040119247871,0.011,0.025,0.025,7724520.0,215001420.0,2022-03-16
243,xSUSHI,XSUSHI,3.8,0.002,0.033,0.055,107293.0,213613208.0,2022-03-16
244,Chromia,CHR,0.37938,0.0289999999999999,0.045,0.031,58407751.0,213564555.0,2022-03-16
245,Yield Guild Games,YGG,2.43,0.027,0.009,-0.057,17537941.0,212099797.0,2022-03-16
246,Telos,TLOS,0.819159,0.02,0.052,-0.096,4398496.0,212084558.0,2022-03-16
247,COTI,COTI,0.201515,0.017,0.048,0.008,15582614.0,210898806.0,2022-03-16
248,Alchemix USD,ALUSD,0.997171,-0.001,-0.001,0.0,3032734.0,208898318.0,2022-03-16
249,Celer Network,CELR,0.037068909834,0.0289999999999999,0.0279999999999999,-0.003,35862409.0,208463091.0,2022-03-16
250,Orbs,ORBS,0.072194784903,0.006,0.02,0.023,28204447.0,208178410.0,2022-03-16
251,Vulcan Forged,PYR,8.73,0.027,0.039,-0.044,38526780.0,207895650.0,2022-03-16
252,Energy Web Token,EWT,4.91,0.015,-0.009,0.042,2224285.0,205388247.0,2022-03-16
253,Astar,ASTR,0.10323,0.009,0.0069999999999999,0.032,7991761.0,205235595.0,2022-03-16
255,Cratos,CRTS,0.002952176693,-0.009,-0.037,-0.13,13535131.0,203670465.0,2022-03-16
256,Ocean Protocol,OCEAN,0.469383,0.0279999999999999,0.051,0.074,22022827.0,202627972.0,2022-03-16
257,XYO Network,XYO,0.016347118202,0.001,0.009,-0.032,4569339.0,202482367.0,2022-03-16
259,PLEX,PLEX,0.815228,0.013,0.0279999999999999,-0.008,15377424.0,198958494.0,2022-03-16
260,LUKSO Token,LYXE,13.05,0.016,0.015,-0.001,1147300.0,198688328.0,2022-03-16
261,DAO Maker,DAO,2.19,0.012,-0.01,-0.042,3559341.0,196210425.0,2022-03-16
262,Boba Network,BOBA,1.21,0.0069999999999999,0.061,0.136,4382013.0,192933914.0,2022-03-16
263,Mdex,MDX,0.223833,0.018,0.0289999999999999,0.051,7274677.0,192821569.0,2022-03-16
264,UFO Gaming,UFO,7.530048e-06,0.03,0.033,-0.009,5098371.0,191533622.0,2022-03-16
265,Ardor,ARDR,0.192938,0.0139999999999999,0.02,-0.011,6272018.0,191059042.0,2022-03-16
266,Pundi X,PUNDIX,0.740085,0.0139999999999999,0.022,-0.006,4296268.0,190637766.0,2022-03-16
267,Mask Network,MASK,4.05,0.032,0.07,0.023,46857218.0,189430950.0,2022-03-16
270,Coinmetro,XCM,0.609647,0.005,-0.055,-0.017,54700.31,184318822.0,2022-03-16
271,MX Token,MX,1.86,0.016,0.017,0.0289999999999999,380193.0,184031159.0,2022-03-16
272,Reserve Rights Token,RSR,0.013806375745,0.015,0.136,0.133,58160962.0,182389151.0,2022-03-16
273,Radicle,RAD,4.43,0.018,0.016,0.021,5082786.0,182383890.0,2022-03-16
274,Conflux,CFX,0.116231,0.02,0.0069999999999999,-0.072,4957635.0,180397101.0,2022-03-16
276,XSGD,XSGD,0.73676,0.004,0.004,0.006,4120965.0,179572544.0,2022-03-16
277,MiL.k Alliance,MLK,0.81278,0.012,0.0289999999999999,0.0279999999999999,6771412.0,179537968.0,2022-03-16
278,Civic,CVC,0.268256,0.024,0.0559999999999999,0.032,15009057.0,179389403.0,2022-03-16
280,Aragon,ANT,4.62,0.027,0.05,0.051,31404911.0,176410722.0,2022-03-16
281,Yoshi.exchange,YOSHI,1.34,0.038,0.135,0.244,3113291.0,173731724.0,2022-03-16
282,SuperFarm,SUPER,0.606166,0.025,0.012,0.023,15865086.0,173202752.0,2022-03-16
283,Divi,DIVI,0.06259333954,-0.003,0.057,-0.0409999999999999,232874.0,172881299.0,2022-03-16
284,BTSE Token,BTSE,8.42,0.006,0.012,0.127,1644847.0,170044358.0,2022-03-16
285,GMX,GMX,22.78,0.0279999999999999,0.038,-0.062,3864455.0,168867621.0,2022-03-16
286,Request,REQ,0.218404,0.018,-0.001,0.122,18881863.0,168625356.0,2022-03-16
287,Multichain,MULTI,9.19,0.0139999999999999,0.049,-0.195,1481745.0,168453270.0,2022-03-16
288,Ergo,ERG,3.26,0.006,0.004,0.0819999999999999,945449.0,168320273.0,2022-03-16
289,Rari Governance Token,RGT,14.92,0.021,-0.025,0.02,590959.0,167699043.0,2022-03-16
290,FEG Token BSC,FEG,3.984e-09,0.0279999999999999,0.0,0.05,505356.0,166612893.0,2022-03-16
291,Alchemy Pay,ACH,0.040564968565,0.018,0.035,-0.003,9350241.0,166194387.0,2022-03-16
292,Numeraire,NMR,28.13,0.013,0.027,0.0,5247599.0,165855215.0,2022-03-16
293,Power Cash,PRCH,0.000548739722,-0.01,-0.023,-0.0069999999999999,107256.0,164420955.0,2022-03-16
294,Moonriver,MOVR,48.85,0.021,-0.025,-0.062,23687001.0,163974343.0,2022-03-16
296,Cartesi,CTSI,0.311626,0.02,-0.01,0.02,16935581.0,161866858.0,2022-03-16
297,JOE,JOE,0.883671,0.032,0.035,-0.0969999999999999,8255024.0,161542087.0,2022-03-16
299,Bifrost,BFC,0.149179,0.013,0.017,0.01,1366910.0,157313585.0,2022-03-16
300,inSure DeFi,SURE,0.005989952985,0.025,0.121,0.163,1229192.0,156870603.0,2022-03-16
301,Aurora,AURORA,6.85,-0.001,-0.02,-0.059,1292731.0,155499279.0,2022-03-16
302,AscendEx Token,ASD,0.210282,0.006,-0.012,-0.03,2234800.0,154656421.0,2022-03-16
303,Reef Finance,REEF,0.008455524242,0.024,0.025,0.034,21823319.0,153505883.0,2022-03-16
304,World Mobile Token,WMT,0.656382,0.002,0.005,-0.005,1215991.0,153058923.0,2022-03-16
305,Mango,MNGO,0.148804,0.021,0.011,-0.026,535237.0,152354623.0,2022-03-16
307,Poollotto.finance,PLT,17.61,0.004,0.004,0.015,737205.0,152110576.0,2022-03-16
308,Biconomy,BICO,1.31,0.012,0.077,0.035,29389338.0,151360962.0,2022-03-16
309,FEG Token,FEG,3.708e-09,0.017,0.009,0.024,1093047.0,151073649.0,2022-03-16
310,BNB48 Club Token,KOGE,75.36,0.006,0.016,-0.0005,8343005.0,151006279.0,2022-03-16
313,Origin Dollar,OUSD,0.993428,0.001,-0.002,0.001,886336.0,150338408.0,2022-03-16
314,Verge,XVG,0.009127060437,0.024,0.027,-0.047,4578538.0,149908633.0,2022-03-16
315,Kishu Inu,KISHU,1.544e-09,0.046,0.094,0.147,7104908.0,149823531.0,2022-03-16
316,Band Protocol,BAND,3.62,0.027,0.05,0.043,25806815.0,149778191.0,2022-03-16
317,Tokamak Network,TON,3.57,0.01,0.025,-0.024,2216118.0,149004019.0,2022-03-16
318,Storj,STORJ,1.04,0.023,0.042,0.106,29384442.0,147999404.0,2022-03-16
319,VeThor Token,VTHO,0.003245192677,0.021,-0.004,0.062,5301268.0,147086117.0,2022-03-16
320,USDX,USDX,0.969027,0.008,0.015,0.001,876536.0,146788183.0,2022-03-16
321,OriginTrail,TRAC,0.400529,0.016,0.009,-0.042,2381151.0,146343514.0,2022-03-16
322,Merit Circle,MC,2.09,0.025,0.068,0.036,25892084.0,146317069.0,2022-03-16
323,aelf,ELF,0.318783,0.018,0.016,-0.012,12922826.0,145914636.0,2022-03-16
324,Akash Network,AKT,1.09,0.016,-0.001,0.019,1755865.0,145104697.0,2022-03-16
325,GPEX,GPX,3.83,0.006,0.002,-0.072,179427.0,144648026.0,2022-03-16
326,StarLink,STARL,1.4396811e-05,0.045,0.022,-0.004,13867876.0,143867182.0,2022-03-16
327,Pundi X [OLD],NPXS,0.000600991914,0.0,-0.015,-0.128,0.0,142146180.0,2022-03-16
328,Acala,ACA,1.1,0.035,0.022,0.018,13275096.0,140584940.0,2022-03-16
329,Orchid Protocol,OXT,0.237795,0.021,0.0,0.066,12106980.0,139760673.0,2022-03-16
330,Beta Finance,BETA,0.387492,0.019,0.012,-0.072,18604900.0,138948965.0,2022-03-16
331,Ark,ARK,0.834377,0.0069999999999999,0.017,-0.0279999999999999,2749604.0,137522294.0,2022-03-16
332,STASIS EURO,EURS,1.1,0.006,0.008,0.0139999999999999,4643750.0,136959838.0,2022-03-16
336,Hxro,HXRO,0.305377,0.008,0.0139999999999999,-0.062,133516.0,133894630.0,2022-03-16
337,flexUSD,FLEXUSD,1.01,0.001,0.0,0.004,179309.0,132954034.0,2022-03-16
338,Bezoge Earth,BEZOGE,3.051e-09,0.012,-0.005,-0.0409999999999999,189402.0,132913608.0,2022-03-16
339,MaidSafeCoin,MAID,0.29492,0.023,0.01,0.045,3041.72,132775927.0,2022-03-16
340,Prometeus,PROM,7.96,0.017,0.008,0.015,1069360.0,130200675.0,2022-03-16
341,Iron Bank EURO,IBEUR,1.08,0.0,-0.004,0.009,95258.1,130044220.0,2022-03-16
342,Metadium,META,0.076908861633,0.0069999999999999,-0.036,0.046,32828560.0,129878030.0,2022-03-16
343,Sperax,SPA,0.166557,0.008,-0.017,-0.021,464074.0,129752776.0,2022-03-16
344,iExec RLC,RLC,1.81,0.019,0.057,0.075,6449965.0,129524554.0,2022-03-16
345,DUSK Network,DUSK,0.325281,0.021,-0.046,-0.038,27805515.0,129420731.0,2022-03-16
346,DEAPCOIN,DEP,0.027606422572,0.004,-0.009,-0.133,5292541.0,128916638.0,2022-03-16
347,StormX,STMX,0.01399186433,0.025,0.022,0.003,2316593.0,128800635.0,2022-03-16
348,RMRK,RMRK,13.65,0.03,0.044,0.006,4743523.0,128405686.0,2022-03-16
349,Qredo,QRDO,2.55,0.035,0.134,0.089,23819831.0,126060547.0,2022-03-16
350,Stratis,STRAX,0.931273,0.015,0.026,-0.0139999999999999,3193483.0,125656753.0,2022-03-16
351,STP Network,STPT,0.085865788522,0.0069999999999999,0.006,-0.0409999999999999,11751380.0,125461512.0,2022-03-16
352,Steem,STEEM,0.315524,0.013,0.01,0.009,6019119.0,124507907.0,2022-03-16
353,Alpha Finance,ALPHA,0.279294,0.018,0.054,0.021,7405255.0,124373230.0,2022-03-16
354,NKN,NKN,0.192439,0.03,0.078,0.064,9196680.0,124009174.0,2022-03-16
355,RSK Infrastructure Framework,RIF,0.150149,0.017,0.032,0.0069999999999999,1193005.0,123524355.0,2022-03-16
356,Balancer,BAL,11.45,0.0279999999999999,0.022,0.01,24421512.0,123217404.0,2022-03-16
357,Dawn Protocol,DAWN,1.7,0.016,0.023,0.033,2418035.0,122765002.0,2022-03-16
358,GXChain,GXC,1.64,0.021,-0.008,-0.019,11166637.0,122187268.0,2022-03-16
359,Sun Token,SUN,0.01159957152,0.012,0.013,0.02,35127631.0,121791772.0,2022-03-16
360,Dero,DERO,10.86,0.034,0.015,-0.141,810741.0,120268451.0,2022-03-16
361,Kirobo,KIRO,0.126408,0.019,0.019,-0.074,30233.26,119964465.0,2022-03-16
362,Alien Worlds,TLM,0.096545880435,0.036,0.039,-0.002,44383919.0,119120382.0,2022-03-16
363,Strike,STRK,37.95,0.0069999999999999,0.0139999999999999,-0.031,9721665.0,118658676.0,2022-03-16
364,Aavegotchi,GHST,1.95,0.0069999999999999,0.008,0.017,28297857.0,117328055.0,2022-03-16
365,Victoria VR,VR,0.144477,0.051,-0.003,0.032,7068380.0,117291824.0,2022-03-16
367,Decentral Games,DG,0.306293,0.005,0.002,0.003,854759.0,116422219.0,2022-03-16
369,FUNToken,FUN,0.010933267139,0.012,-0.004,-0.011,853332.0,115804492.0,2022-03-16
371,TrueFi,TRU,0.180166,0.025,-0.008,0.069,9656824.0,115725924.0,2022-03-16
372,agEUR,AGEUR,1.1,0.003,0.003,0.011,3811883.0,115711833.0,2022-03-16
374,Maple,MPL,25.38,-0.005,-0.019,0.154,3006803.0,114666914.0,2022-03-16
375,Spookyswap,BOO,12.83,0.0279999999999999,-0.0279999999999999,-0.109,5125254.0,114555634.0,2022-03-16
379,TitanSwap,TITAN,1.13,0.0,-0.002,-0.072,24704.16,112504097.0,2022-03-16
380,Phantasma,SOUL,1.08,0.0279999999999999,0.13,-0.024,2762350.0,112079479.0,2022-03-16
381,Tornado Cash,TORN,47.91,0.023,0.006,-0.071,10096292.0,111960444.0,2022-03-16
382,Alchemix,ALCX,95.14,0.0279999999999999,-0.042,-0.125,8581305.0,111651916.0,2022-03-16
383,DODO,DODO,0.391699,0.033,0.064,0.0,53854854.0,111498427.0,2022-03-16
384,Hoo Token,HOO,1.34,-0.002,0.049,-0.0139999999999999,8376366.0,111488236.0,2022-03-16
385,BTC Standard Hashrate Token,BTCST,15.38,0.032,0.022,-0.08,10770376.0,110711281.0,2022-03-16
386,KardiaChain,KAI,0.033106050211,0.005,0.012,0.092,3633167.0,110596002.0,2022-03-16
387,Klever,KLV,0.021137782806,0.027,0.034,0.054,4429411.0,109983784.0,2022-03-16
388,Orion Protocol,ORN,3.13,0.066,0.069,0.022,10611478.0,108618470.0,2022-03-16
389,BENQI Liquid Staked AVAX,SAVAX,73.3,0.035,0.036,0.003,232010.0,108588792.0,2022-03-16
390,PlatON Network,LAT,0.045411075152,0.011,0.01,-0.0579999999999999,4190176.0,108434635.0,2022-03-16
391,Hathor,HTR,0.479597,0.052,0.047,0.025,3389005.0,108345431.0,2022-03-16
392,Kava Swap,SWP,1.81,-0.009,-0.013,0.02,1850449.0,107989085.0,2022-03-16
393,Proton,XPR,0.010978430413,0.022,-0.02,-0.067,4912504.0,107238670.0,2022-03-16
394,Utrust,UTK,0.233365,0.018,-0.011,-0.0069999999999999,6103029.0,107165105.0,2022-03-16
395,Regen,REGEN,0.862787,0.018,0.036,0.002,113190.0,106505797.0,2022-03-16
397,BakerySwap,BAKE,0.548429,0.027,0.033,-0.005,11013168.0,104901896.0,2022-03-16
398,QuarkChain,QKC,0.015632618015,0.009,0.006,-0.019,2276212.0,103653419.0,2022-03-16
399,Hydra,HYDRA,8.93,0.005,-0.089,-0.004,444955.0,103576699.0,2022-03-16
400,TomoChain,TOMO,1.17,0.02,0.046,0.039,5201034.0,103142455.0,2022-03-16
401,Pylon Protocol,MINE,0.053553941991,0.011,0.046,0.093,1026416.0,102790559.0,2022-03-16
402,Ellipsis,EPS,0.164725,0.0139999999999999,0.036,0.042,8159278.0,102630468.0,2022-03-16
403,Venus,XVS,8.52,0.017,0.0069999999999999,-0.011,7769662.0,102446263.0,2022-03-16
404,Railgun,RAIL,1.78,0.013,0.0559999999999999,-0.0409999999999999,448935.0,102343090.0,2022-03-16
405,Seedify.fund,SFUND,4.33,0.016,0.033,-0.161,3442729.0,102337446.0,2022-03-16
406,Hermez Network,HEZ,6.09,0.009,0.003,0.0139999999999999,105821.0,102164945.0,2022-03-16
408,ICHI,ICHI,22.69,0.023,0.049,0.133,910181.0,99403281.0,2022-03-16
410,CRYPTO20,C20,2.94,0.006,-0.047,-0.011,53097.41,98979226.0,2022-03-16
411,Decentral Games Governance,XDG,0.32163,0.01,0.013,0.002,121569.0,98858963.0,2022-03-16
412,Metal,MTL,1.52,0.024,0.0289999999999999,-0.0069999999999999,12492929.0,98095635.0,2022-03-16
413,Wilder World,WILD,1.17,0.065,-0.002,-0.127,4735954.0,97124495.0,2022-03-16
414,Wrapped Centrifuge,WCFG,0.486023,0.004,0.021,-0.008,1702240.0,97035126.0,2022-03-16
415,Bitcoin Diamond,BCD,0.515751,0.008,0.025,-0.016,823683.0,96592411.0,2022-03-16
416,cBAT,CBAT,0.013887822764,0.006,0.016,-0.0005,8343005.0,96585801.0,2022-03-16
417,sUSD,SUSD,0.995877,-0.001,0.001,-0.002,8450530.0,95584478.0,2022-03-16
419,Bounce,AUCTION,13.1,0.016,0.018,0.027,1741028.0,94296802.0,2022-03-16
420,Augur,REP,13.43,0.019,0.02,-0.015,7904878.0,93213520.0,2022-03-16
421,Verasity,VRA,0.020985885492,0.048,0.0559999999999999,0.009,58902495.0,92248152.0,2022-03-16
423,Platypus Finance,PTP,4.82,0.045,-0.049,-0.153,2928863.0,91532885.0,2022-03-16
424,Ampleforth,AMPL,1.12,0.019,0.146,0.235,9846521.0,91484573.0,2022-03-16
425,Wanchain,WAN,0.473501,0.018,0.01,-0.024,7300330.0,91110234.0,2022-03-16
426,IDEX,IDEX,0.142817,0.013,-0.002,-0.018,22972045.0,90978713.0,2022-03-16
427,Dopex Rebate Token,RDPX,101.45,0.0559999999999999,0.04,0.113,3498225.0,90554011.0,2022-03-16
428,Everipedia,IQ,0.009006140462,0.0069999999999999,0.031,0.022,3388475.0,89718345.0,2022-03-16
430,Electroneum,ETN,0.005086662997,0.017,0.026,-0.017,176858.0,89440714.0,2022-03-16
431,KeeperDAO,ROOK,108.14,0.005,0.022,-0.001,420336.0,87457228.0,2022-03-16
432,cUNI,CUNI,0.177688,0.001,0.008,0.0,818771.0,86960205.0,2022-03-16
